Date,High,Low,Open,Close,Volume,Adj Close
12/31/1999,3.674107075,3.553571463,3.604910612,3.671875,40952800,2.448417902
1/3/2000,4.017857075,3.631696463,3.745535612,3.997767925,133949200,2.665724039
1/4/2000,3.950892925,3.613839388,3.866071463,3.660714388,128094400,2.440975428
1/5/2000,3.948660612,3.678571463,3.705357075,3.714285612,194580400,2.476696968
1/6/2000,3.821428537,3.392857075,3.790178537,3.392857075,191993200,2.262367487
1/7/2000,3.607142925,3.410714388,3.446428537,3.553571463,115183600,2.369532108
1/10/2000,3.651785612,3.383928537,3.642857075,3.491071463,126266000,2.327856541
1/11/2000,3.549107075,3.232142925,3.426339388,3.3125,110387200,2.208785057
1/12/2000,3.410714388,3.089285612,3.392857075,3.113839388,244017200,2.076317787
1/13/2000,3.526785612,3.303571463,3.37443924,3.455357075,258171200,2.304042578
1/14/2000,3.651785612,3.549107075,3.571428537,3.587053537,97594000,2.391857862
1/18/2000,3.785714388,3.587053537,3.607142925,3.712053537,114794400,2.475208521
1/19/2000,3.883928537,3.691964388,3.772321463,3.805803537,149410800,2.537721395
1/20/2000,4.339285851,4.053571224,4.125,4.053571224,457783200,2.702933311
1/21/2000,4.080357075,3.935267925,4.080357075,3.975446463,123981200,2.650840282
1/24/2000,4.026785851,3.754464388,3.872767925,3.794642925,110219200,2.530279398
1/25/2000,4.040178776,3.65625,3.75,4.008928776,124286400,2.673165798
1/26/2000,4.078125,3.919642925,3.928571463,3.935267925,91789600,2.624048471
1/27/2000,4.035714149,3.821428537,3.886160612,3.928571463,85036000,2.619582653
1/28/2000,3.959821463,3.59375,3.863839388,3.629464388,105837200,2.420138359
1/31/2000,3.709821463,3.375,3.607142925,3.705357075,175420000,2.470743418
2/1/2000,3.75,3.571428537,3.714285612,3.580357075,79508800,2.387392759
2/2/2000,3.647321463,3.464285612,3.598214388,3.529017925,116048800,2.353159666
2/3/2000,3.723214388,3.580357075,3.582589388,3.689732075,118798400,2.460324764
2/4/2000,3.928571463,3.700892925,3.712053537,3.857142925,106330000,2.57195425
2/7/2000,4.080357075,3.783482075,3.857142925,4.073660851,110266800,2.716329098
2/8/2000,4.147321224,3.973214388,4.071428776,4.102678776,102160800,2.735678434
2/9/2000,4.183035851,4.015625,4.075892925,4.022321224,74841200,2.682096004
2/10/2000,4.066964149,3.928571463,4.03125,4.053571224,75745600,2.702933311
2/11/2000,4.075892925,3.866071463,4.058035851,3.883928537,53062800,2.589815378
2/14/2000,4.138392925,3.879464388,3.904017925,4.136160851,91884800,2.758004189
2/15/2000,4.283482075,4.113839149,4.116071224,4.25,121436000,2.833913326
2/16/2000,4.21875,4.004464149,4.205357075,4.075892925,94561600,2.717817307
2/17/2000,4.125,4.040178776,4.113839149,4.102678776,72374400,2.735678434
2/18/2000,4.120535851,3.959821463,4.09375,3.973214388,58360400,2.649351358
2/22/2000,4.176339149,3.810267925,3.933035612,4.064732075,105574000,2.710375786
2/23/2000,4.25,3.964285612,4.044082165,4.151785851,118274800,2.768423796
2/24/2000,4.254464149,3.991071463,4.189732075,4.114396572,94108000,2.743492126
2/25/2000,4.178571224,3.933035612,4.100446224,3.941964388,62286000,2.628513575
2/28/2000,4.107142925,3.870535612,3.933035612,4.044642925,82082000,2.696980238
2/29/2000,4.1875,4.020089149,4.055803776,4.09375,92240400,2.729724884
3/1/2000,4.716517925,4.232142925,4.234375,4.654017925,269250800,3.103312731
3/2/2000,4.569196224,4.310267925,4.535714149,4.357142925,77814800,2.90535593
3/3/2000,4.579796314,4.285714149,4.459821224,4.571428776,80841600,3.048242569
3/6/2000,4.611607075,4.464285851,4.5,4.488839149,52640000,2.993171215
3/7/2000,4.551339149,4.325892925,4.515625,4.388392925,68252800,2.926193476
3/8/2000,4.426339149,4.234375,4.388392925,4.357142925,67807600,2.90535593
3/9/2000,4.464285851,4.223214149,4.316964149,4.366071224,69179600,2.911309719
3/10/2000,4.569196224,4.321428776,4.345982075,4.491071224,62151600,2.99465847
3/13/2000,4.517857075,4.267857075,4.361607075,4.332589149,75989200,2.888983488
3/14/2000,4.4375,4.071428776,4.329239368,4.080357075,107144800,2.720794678
3/15/2000,4.294642925,4.075892925,4.129464149,4.151785851,110902400,2.768423796
3/16/2000,4.357142925,4.089285851,4.189732075,4.341517925,94525200,2.894937754
3/17/2000,4.464285851,4.272321224,4.290178776,4.464285851,76260800,2.97679925
3/20/2000,4.508928776,4.370535851,4.410714149,4.392857075,51122400,2.929169655
3/21/2000,4.883928776,4.34375,4.377232075,4.819196224,131082000,3.213455915
3/22/2000,5.15625,4.698660851,4.742185593,5.149553776,141999200,3.433738947
3/23/2000,5.370535851,5,5.071428776,5.046875,140641200,3.365271807
3/24/2000,5.140625,4.839285851,5.087053776,4.953125,111728400,3.302758932
3/27/2000,5.169642925,4.888392925,4.915178776,4.984375,69795600,3.323596954
3/28/2000,5.071428776,4.897321224,4.901785851,4.96875,50741600,3.313177586
3/29/2000,4.979910851,4.779574871,4.977678776,4.854910851,59959200,3.237269163
3/30/2000,4.917410851,4.479910851,4.770089149,4.491071224,103600000,2.99465847
3/31/2000,4.901785851,4.5,4.551339149,4.850446224,101158400,3.234292507
4/3/2000,4.982142925,4.622767925,4.839285851,4.761160851,82140800,3.174755335
4/4/2000,4.75,4.169642925,4.736607075,4.546875,165082400,3.031869888
4/5/2000,4.745535851,4.428571224,4.516739368,4.65625,114416400,3.104801655
4/6/2000,4.803571224,4.401785851,4.665178776,4.470982075,64906800,2.981264114
4/7/2000,4.709821224,4.482142925,4.544642925,4.705357075,60608800,3.137546539
4/10/2000,4.741071224,4.455357075,4.703125,4.464285851,53065600,2.97679925
4/11/2000,4.459821224,4.216517925,4.410714149,4.265625,135455600,2.844331264
4/12/2000,4.25,3.745535612,4.25,3.901785612,235284000,2.601722717
4/13/2000,4.285714149,3.875,3.982142925,4.064732075,132456800,2.710375786
4/14/2000,4.214285851,3.892857075,3.904017925,3.995535612,166905200,2.664235592
4/17/2000,4.426339149,3.895089388,3.910714388,4.424107075,102390400,2.950007915
4/18/2000,4.53125,4.263392925,4.410714149,4.53125,97731200,3.021450758
4/19/2000,4.651785851,4.276785851,4.506696224,4.325892925,130037600,2.884518385
4/20/2000,4.455357075,4.180803776,4.417410851,4.245535851,180530000,2.83093667
4/24/2000,4.303571224,4.098214149,4.107142925,4.303571224,110905200,2.869633913
4/25/2000,4.598214149,4.359375,4.361607075,4.582589149,97910400,3.055683851
4/26/2000,4.571428776,4.285714149,4.522321224,4.332589149,91728000,2.888983488
4/27/2000,4.535714149,4.163503647,4.185267925,4.526785851,81650800,3.018473387
4/28/2000,4.553571224,4.332589149,4.540178776,4.430803776,62395200,2.954473019
5/1/2000,4.46875,4.352678776,4.459821224,4.439732075,56548800,2.960427046
5/2/2000,4.508928776,4.196428776,4.401785851,4.209821224,59108000,2.807121038
5/3/2000,4.330357075,3.986607075,4.247767925,4.109375,122449600,2.740144014
5/4/2000,4.116071224,3.948660612,4.111607075,3.953125,99878800,2.635955572
5/5/2000,4.098214149,3.954239368,3.957589388,4.040178776,71019200,2.694003344
5/8/2000,4.060267925,3.928571463,4.003346443,3.933035612,46225200,2.622560024
5/9/2000,3.973214388,3.745535612,3.939732075,3.765625,81785200,2.5109303
5/10/2000,3.75,3.526785612,3.716517925,3.546875,133772800,2.365066767
5/11/2000,3.723214388,3.535714388,3.620535612,3.671875,124936000,2.448417902
5/12/2000,3.946428537,3.741628647,3.785714388,3.84375,76728400,2.563024282
5/15/2000,3.859375,3.575892925,3.859375,3.607142925,169733200,2.40525341
5/16/2000,3.895089388,3.669642925,3.732700109,3.774553537,110112800,2.516883612
5/17/2000,3.703125,3.584821463,3.700892925,3.620535612,99523200,2.414184093
5/18/2000,3.747767925,3.59375,3.678571463,3.598214388,93444400,2.399299622
5/19/2000,3.544642925,3.334821463,3.544642925,3.357142925,185166800,2.23855257
5/22/2000,3.348214388,3.071428537,3.348214388,3.212053537,188876800,2.141806841
5/23/2000,3.334821463,3.058035612,3.232142925,3.064732075,129396400,2.043573141
5/24/2000,3.205357075,2.964285612,3.078125,3.131696463,169615600,2.088225126
5/25/2000,3.309149981,3.071428537,3.160714388,3.116628647,101687600,2.078177691
5/26/2000,3.209821463,3.044642925,3.142857075,3.084821463,45287200,2.056967497
5/30/2000,3.147321463,2.919642925,3.129464388,3.127232075,178264800,2.085247993
5/31/2000,3.258928537,2.993303537,3.102678537,3,108376800,2.000409126
6/1/2000,3.198660612,2.870535612,2.919642925,3.183035612,225960000,2.122457743
6/2/2000,3.5625,3.178571463,3.348214388,3.305803537,198212000,2.204320431
6/5/2000,3.401785612,3.203125,3.332589388,3.261160612,80917200,2.174551249
6/6/2000,3.455357075,3.225446463,3.284596443,3.316964388,131370400,2.211761713
6/7/2000,3.464285612,3.272321463,3.34375,3.448660612,84254800,2.299577236
6/8/2000,3.517857075,3.325892925,3.486607075,3.386160612,59631600,2.257902145
6/9/2000,3.497767925,3.370535612,3.455357075,3.419642925,63089600,2.280228615
6/12/2000,3.444196463,3.245535612,3.441964388,3.256696463,72584400,2.171575069
6/13/2000,3.381696463,3.149553537,3.256696463,3.375,87864000,2.250459909
6/14/2000,3.4375,3.21875,3.381696463,3.229910612,69361600,2.153714418
